1	1169691
2	1124172
4	1074474
7	1078913
8	1065549
10	1005648
13	1115843
14	1056021
16	1077432
19	1043408
20	1070927
22	1134581
25	1130222
26	1097398
28	1047132
31	1028540
32	1031684
34	1050425
37	1072199
38	1099519
40	1077226
43	1109398
44	1088098
46	1033996
49	1085682
50	1051502
52	1059461
55	1043430
56	1106508
58	995452
61	1021537
62	997501
64	1034810
67	1055745
68	1112846
70	1119631
73	1099687
74	1031526
76	1104904
79	1005659
80	1101408
82	1035771
85	1005888
86	1119147
88	1032749
91	1081403
92	1083099
94	1088089
97	1123627
98	1064899
100	1064531
103	1088013
104	1086269
106	1077670
109	1139078
110	1116827
112	1005205
115	1015595
116	1104731
118	1043476
121	1068141
122	1033430
124	1098160
127	1070741
128	1077657
130	1099731
133	1113499
134	1019408
136	1096405
139	1077021
140	1150260
142	1111057
145	1050432
146	1066435
148	988330
151	1085179
152	1069582
154	1117392
157	1122116
158	1023016
160	1134613
163	1038050
164	1087838
166	1104214
169	1017732
170	1003990
172	1082874
175	1183235
176	1073099
178	1111117
181	1089941
182	1136283
184	1080577
187	1159186
188	1087571
190	1105411
193	1044481
194	986824
196	1080387
199	1071122
200	1081934
202	1143012
205	1041555
206	1022730
208	1104508
211	1062510
212	962169
214	1069922
217	980256
218	1040895
220	1103380
223	1079875
224	1114563
226	1099403
229	1075664
230	1058642
232	1088899
235	1036418
236	1084557
238	1078014
241	1100444
242	1054341
244	1101618
247	1132659
248	1103395
250	1067493
253	1031880
254	1107897
256	1095860
259	1043776
260	1114651
262	1070527
265	1167058
266	1095411
268	1074590
271	1074935
272	1042754
274	1112338
277	1029186
278	1110260
280	1073863
283	1078643
284	1068726
286	1181652
289	999800
290	1200974
292	1050658
295	1124466
296	1020553
298	1050070
301	1212145
302	961224
304	1098721
307	1105662
308	1016367
310	1124890
313	1092084
314	1083145
316	990738
319	1060273
320	1060832
322	1052849
325	1120033
326	1130502
328	1040599
331	1099233
332	1050496
334	1075437
337	1092220
338	1082632
340	999116
343	1043618
344	1062987
346	1166387
349	1087648
350	1046446
352	1171169
355	1097230
356	1062372
358	1055445
361	1074448
362	1081006
364	1127855
367	1061597
368	1007409
370	1102415
373	1099650
374	1088397
376	1005329
379	1139592
380	1155054
382	1062991
385	1073765
386	1141136
388	1142343
391	1094768
392	1102942
394	1085707
397	1100196
398	1072997
400	1057701
403	1124328
404	1088765
406	1069943
409	1072360
410	1112273
412	1087183
415	1119632
416	1061001
418	1095474
421	1021550
422	1109688
424	1002546
427	998119
428	1036512
430	1014530
433	1034245
434	1039276
436	1117816
439	1109012
440	1076608
442	1103363
445	1120016
446	1011907
448	1089610
451	1094437
452	1068205
454	1056309
457	1090466
458	1056106
460	1050151
463	1124265
464	1142495
466	998531
469	1021866
470	1085904
472	983811
475	1067738
476	1121244
478	1053014
481	1111265
482	1071958
484	1087620
487	1141787
488	981348
490	1104342
493	1041902
494	1080943
496	1140839
499	1112934
500	1146485
